slot_id,cell_name,width_mm,height_mm,pos_x_mm,pos_y_mm,pad_count,sram_block_count,stdcell_count,transistor_count
BTAP,BTAP_chip_top_0_0,3.93,5.12,0.06,0.06,75,56,43225,2180953
RZ80,RZ80_chip_top_0_2,3.93,5.12,0.06,5.24,75,0,5209,2307517
TZ01,TZ01_chip_top_0_4,3.93,5.12,0.06,10.42,75,16,58018,2034655
2975,2975_chip_top_0_6,3.93,5.12,0.06,15.61,33,0,316440,3615126
JKU2,JKU2_chip_top_0_8,3.93,2.53,0.06,20.79,73,0,22476,1001897
BTAP,BTAP_chip_top_2_0,3.93,5.12,4.05,0.06,75,56,43225,2180953
RZ80,RZ80_chip_top_2_2,3.93,5.12,4.05,5.24,75,0,5209,2307517
TZ01,TZ01_chip_top_2_4,3.93,5.12,4.05,10.42,75,16,58018,2034655
2975,2975_chip_top_2_6,3.93,5.12,4.05,15.61,33,0,316440,3615126
OCD2,OCD2_gf180mcu_ocd_sram_top_2_8,3.93,2.53,4.05,20.79,73,8,122,250621
MOSB,MOSB_chip_top_4_0,3.93,5.12,8.04,0.06,75,0,17889,432098
MOSB,MOSB_chip_top_4_2,3.93,5.12,8.04,5.24,75,0,17889,432098
OCD2,OCD2_gf180mcu_ocd_sram_top_4_8,3.93,2.53,8.04,20.79,73,8,122,250621
AS03,AS03_chip_top_6_0,3.93,5.12,12.04,0.06,75,0,86629,2446849
TTPG,TTPG_tt_gf_wrapper_6_2,3.93,5.12,12.04,5.24,75,0,203780,3291757
TTP2,TTP2_tt_gf_wrapper_6_4,3.93,5.12,12.04,10.42,75,0,203781,3274885
GD03,GD03_chip_top_6_6,3.93,5.12,12.04,15.61,75,46,78208,2744447
GD04,GD04_chip_top_6_8,3.93,2.53,12.04,20.79,73,12,35525,1002605
KIAN,KIAN_chip_top_8_0,3.93,5.12,16.03,0.06,75,42,88941,2456450
BRWN,BRWN_ENGN2912E_TOP_8_2,3.93,5.12,16.03,5.24,75,0,4379,821902
MOLE,MOLE_chip_top_8_4,3.93,5.12,16.03,10.42,75,12,203757,3418507
OCD1,OCD1_caravel_openframe_top_8_6,3.93,5.12,16.03,15.61,64,16,34431,1528880
TQVC,TQVC_chip_top_8_8,3.93,2.53,16.03,20.79,73,2,36116,1219676
JKU1,JKU1_chip_top_10_0,3.93,5.12,20.02,0.06,75,0,174469,3154664
WSLG,WSLG_chip_top_10_2,3.93,5.12,20.02,5.24,75,0,14290,1521509
CHES,CHES_chip_top_10_4,3.93,5.12,20.02,10.42,75,0,145076,2716746
MOS2,MOS2_chip_top_10_6,3.93,5.12,20.02,15.61,163,0,0,240673
GD04,GD04_chip_top_10_8,3.93,2.53,20.02,20.79,73,12,35525,1002605
CAFE,CAFE_chip_top_12_0,3.93,5.12,24.01,0.06,75,40,100546,2934001
ISHI,ISHI_ISHI-KAI_WS_RUN1_12_4,3.93,5.12,24.01,10.42,196,0,0,227230
RBOY,RBOY_chip_top_12_6,3.93,5.12,24.01,15.61,75,60,69949,2395590
TQVC,TQVC_chip_top_12_8,3.93,2.53,24.01,20.79,73,2,36116,1219676
HZ80,HZ80_chip_top_14_0,1.94,5.12,28.00,0.06,73,0,5143,831740
TRID,TRID_TOP_14_2,1.94,5.12,28.00,5.24,95,0,0,102336
GD02,GD02_chip_top_14_4,1.94,5.12,28.00,10.42,73,18,34564,976848
TQVB,TQVB_chip_top_14_6,1.94,5.12,28.00,15.61,73,2,35416,1098008
TQVA,TQVA_chip_top_14_8,1.94,2.53,28.00,20.79,57,2,35711,480963
