slot_id,cell_name,library,cell_type,is_fill,instance_count
BTAP,BTAP_chip_top_0_0,mcu9t5v0,and2_1,False,405
BTAP,BTAP_chip_top_0_0,mcu9t5v0,and2_2,False,31
BTAP,BTAP_chip_top_0_0,mcu9t5v0,and2_4,False,10
BTAP,BTAP_chip_top_0_0,mcu9t5v0,and3_1,False,72
BTAP,BTAP_chip_top_0_0,mcu9t5v0,and3_2,False,6
BTAP,BTAP_chip_top_0_0,mcu9t5v0,and3_4,False,1
BTAP,BTAP_chip_top_0_0,mcu9t5v0,and4_1,False,58
BTAP,BTAP_chip_top_0_0,mcu9t5v0,and4_2,False,8
BTAP,BTAP_chip_top_0_0,mcu9t5v0,and4_4,False,2
BTAP,BTAP_chip_top_0_0,mcu9t5v0,antenna,True,67
BTAP,BTAP_chip_top_0_0,mcu9t5v0,aoi211_1,False,325
BTAP,BTAP_chip_top_0_0,mcu9t5v0,aoi211_2,False,29
BTAP,BTAP_chip_top_0_0,mcu9t5v0,aoi211_4,False,11
BTAP,BTAP_chip_top_0_0,mcu9t5v0,aoi21_1,False,1969
BTAP,BTAP_chip_top_0_0,mcu9t5v0,aoi21_2,False,130
BTAP,BTAP_chip_top_0_0,mcu9t5v0,aoi21_4,False,53
BTAP,BTAP_chip_top_0_0,mcu9t5v0,aoi221_1,False,290
BTAP,BTAP_chip_top_0_0,mcu9t5v0,aoi221_2,False,122
BTAP,BTAP_chip_top_0_0,mcu9t5v0,aoi221_4,False,67
BTAP,BTAP_chip_top_0_0,mcu9t5v0,aoi22_1,False,496
BTAP,BTAP_chip_top_0_0,mcu9t5v0,aoi22_2,False,28
BTAP,BTAP_chip_top_0_0,mcu9t5v0,aoi22_4,False,15
BTAP,BTAP_chip_top_0_0,mcu9t5v0,buf_1,False,1202
BTAP,BTAP_chip_top_0_0,mcu9t5v0,buf_12,False,39
BTAP,BTAP_chip_top_0_0,mcu9t5v0,buf_16,False,5
BTAP,BTAP_chip_top_0_0,mcu9t5v0,buf_2,False,4001
BTAP,BTAP_chip_top_0_0,mcu9t5v0,buf_20,False,1
BTAP,BTAP_chip_top_0_0,mcu9t5v0,buf_3,False,164
BTAP,BTAP_chip_top_0_0,mcu9t5v0,buf_4,False,492
BTAP,BTAP_chip_top_0_0,mcu9t5v0,buf_8,False,175
BTAP,BTAP_chip_top_0_0,mcu9t5v0,clkbuf_1,False,930
BTAP,BTAP_chip_top_0_0,mcu9t5v0,clkbuf_12,False,55
BTAP,BTAP_chip_top_0_0,mcu9t5v0,clkbuf_16,False,25
BTAP,BTAP_chip_top_0_0,mcu9t5v0,clkbuf_2,False,1746
BTAP,BTAP_chip_top_0_0,mcu9t5v0,clkbuf_20,False,6
BTAP,BTAP_chip_top_0_0,mcu9t5v0,clkbuf_3,False,264
BTAP,BTAP_chip_top_0_0,mcu9t5v0,clkbuf_4,False,2036
BTAP,BTAP_chip_top_0_0,mcu9t5v0,clkbuf_8,False,570
BTAP,BTAP_chip_top_0_0,mcu9t5v0,clkinv_1,False,2005
BTAP,BTAP_chip_top_0_0,mcu9t5v0,clkinv_12,False,8
BTAP,BTAP_chip_top_0_0,mcu9t5v0,clkinv_2,False,139
BTAP,BTAP_chip_top_0_0,mcu9t5v0,clkinv_3,False,8
BTAP,BTAP_chip_top_0_0,mcu9t5v0,clkinv_4,False,8
BTAP,BTAP_chip_top_0_0,mcu9t5v0,clkinv_8,False,32
BTAP,BTAP_chip_top_0_0,mcu9t5v0,dffq_1,False,1638
BTAP,BTAP_chip_top_0_0,mcu9t5v0,dffq_2,False,84
BTAP,BTAP_chip_top_0_0,mcu9t5v0,dffq_4,False,29
BTAP,BTAP_chip_top_0_0,mcu9t5v0,dlya_1,False,184
BTAP,BTAP_chip_top_0_0,mcu9t5v0,dlya_4,False,28
BTAP,BTAP_chip_top_0_0,mcu9t5v0,dlyb_1,False,1425
BTAP,BTAP_chip_top_0_0,mcu9t5v0,dlyb_2,False,1
BTAP,BTAP_chip_top_0_0,mcu9t5v0,dlyc_1,False,1340
BTAP,BTAP_chip_top_0_0,mcu9t5v0,dlyd_1,False,231
BTAP,BTAP_chip_top_0_0,mcu9t5v0,endcap,True,6476
BTAP,BTAP_chip_top_0_0,mcu9t5v0,fill_1,True,18857
BTAP,BTAP_chip_top_0_0,mcu9t5v0,fill_2,True,17111
BTAP,BTAP_chip_top_0_0,mcu9t5v0,fillcap_16,True,7797
BTAP,BTAP_chip_top_0_0,mcu9t5v0,fillcap_32,True,7594
BTAP,BTAP_chip_top_0_0,mcu9t5v0,fillcap_4,True,33213
BTAP,BTAP_chip_top_0_0,mcu9t5v0,fillcap_64,True,19075
BTAP,BTAP_chip_top_0_0,mcu9t5v0,fillcap_8,True,11264
BTAP,BTAP_chip_top_0_0,mcu9t5v0,filltie,True,34730
BTAP,BTAP_chip_top_0_0,mcu9t5v0,inv_1,False,1021
BTAP,BTAP_chip_top_0_0,mcu9t5v0,inv_12,False,4
BTAP,BTAP_chip_top_0_0,mcu9t5v0,inv_16,False,3
BTAP,BTAP_chip_top_0_0,mcu9t5v0,inv_2,False,198
BTAP,BTAP_chip_top_0_0,mcu9t5v0,inv_20,False,4
BTAP,BTAP_chip_top_0_0,mcu9t5v0,inv_3,False,98
BTAP,BTAP_chip_top_0_0,mcu9t5v0,inv_4,False,94
BTAP,BTAP_chip_top_0_0,mcu9t5v0,inv_8,False,13
BTAP,BTAP_chip_top_0_0,mcu9t5v0,mux2_1,False,226
BTAP,BTAP_chip_top_0_0,mcu9t5v0,mux2_2,False,9
BTAP,BTAP_chip_top_0_0,mcu9t5v0,nand2_1,False,8783
BTAP,BTAP_chip_top_0_0,mcu9t5v0,nand2_2,False,608
BTAP,BTAP_chip_top_0_0,mcu9t5v0,nand2_4,False,296
BTAP,BTAP_chip_top_0_0,mcu9t5v0,nand3_1,False,1856
BTAP,BTAP_chip_top_0_0,mcu9t5v0,nand3_2,False,318
BTAP,BTAP_chip_top_0_0,mcu9t5v0,nand3_4,False,159
BTAP,BTAP_chip_top_0_0,mcu9t5v0,nand4_1,False,362
BTAP,BTAP_chip_top_0_0,mcu9t5v0,nand4_2,False,57
BTAP,BTAP_chip_top_0_0,mcu9t5v0,nand4_4,False,60
BTAP,BTAP_chip_top_0_0,mcu9t5v0,nor2_1,False,1997
BTAP,BTAP_chip_top_0_0,mcu9t5v0,nor2_2,False,269
