slot_id,cell_name,grid_x,grid_y,x_mm,y_mm,transistor_count,stdcell_count
BTAP,BTAP_chip_top_0_0,3,0,3.0,0.0,52856,28
BTAP,BTAP_chip_top_0_0,1,1,1.0,1.0,207116,12331
BTAP,BTAP_chip_top_0_0,0,5,0.0,5.0,758,0
BTAP,BTAP_chip_top_0_0,1,5,1.0,5.0,739,0
BTAP,BTAP_chip_top_0_0,2,5,2.0,5.0,801,0
BTAP,BTAP_chip_top_0_0,3,5,3.0,5.0,662,0
RZ80,RZ80_chip_top_0_2,0,0,0.0,0.0,59446,8
RZ80,RZ80_chip_top_0_2,1,0,1.0,0.0,100976,32
RZ80,RZ80_chip_top_0_2,2,0,2.0,0.0,100995,8
RZ80,RZ80_chip_top_0_2,3,0,3.0,0.0,53039,1
RZ80,RZ80_chip_top_0_2,0,1,0.0,1.0,100117,16
RZ80,RZ80_chip_top_0_2,1,1,1.0,1.0,172648,17
RZ80,RZ80_chip_top_0_2,2,1,2.0,1.0,172675,13
RZ80,RZ80_chip_top_0_2,3,1,3.0,1.0,88445,4
RZ80,RZ80_chip_top_0_2,0,2,0.0,2.0,101251,408
RZ80,RZ80_chip_top_0_2,1,2,1.0,2.0,185124,3435
RZ80,RZ80_chip_top_0_2,2,2,2.0,2.0,173039,10
RZ80,RZ80_chip_top_0_2,3,2,3.0,2.0,88280,2
RZ80,RZ80_chip_top_0_2,0,3,0.0,3.0,100331,61
RZ80,RZ80_chip_top_0_2,1,3,1.0,3.0,177180,1118
RZ80,RZ80_chip_top_0_2,2,3,2.0,3.0,172652,15
RZ80,RZ80_chip_top_0_2,3,3,3.0,3.0,88338,15
RZ80,RZ80_chip_top_0_2,0,4,0.0,4.0,71323,11
RZ80,RZ80_chip_top_0_2,1,4,1.0,4.0,121125,11
RZ80,RZ80_chip_top_0_2,2,4,2.0,4.0,121366,17
RZ80,RZ80_chip_top_0_2,3,4,3.0,4.0,62679,7
RZ80,RZ80_chip_top_0_2,0,5,0.0,5.0,972,0
RZ80,RZ80_chip_top_0_2,1,5,1.0,5.0,739,0
RZ80,RZ80_chip_top_0_2,2,5,2.0,5.0,801,0
RZ80,RZ80_chip_top_0_2,3,5,3.0,5.0,662,0
TZ01,TZ01_chip_top_0_4,3,0,3.0,0.0,61880,1458
TZ01,TZ01_chip_top_0_4,0,1,0.0,1.0,88113,3851
TZ01,TZ01_chip_top_0_4,1,1,1.0,1.0,167040,10487
TZ01,TZ01_chip_top_0_4,2,1,2.0,1.0,173471,12067
TZ01,TZ01_chip_top_0_4,3,1,3.0,1.0,87361,2659
TZ01,TZ01_chip_top_0_4,0,2,0.0,2.0,40350,230
TZ01,TZ01_chip_top_0_4,1,2,1.0,2.0,65047,1734
TZ01,TZ01_chip_top_0_4,2,2,2.0,2.0,64893,2466
TZ01,TZ01_chip_top_0_4,3,2,3.0,2.0,51808,491
TZ01,TZ01_chip_top_0_4,0,3,0.0,3.0,128947,4641
TZ01,TZ01_chip_top_0_4,1,3,1.0,3.0,181530,3137
TZ01,TZ01_chip_top_0_4,2,3,2.0,3.0,168042,2418
TZ01,TZ01_chip_top_0_4,3,3,3.0,3.0,75794,1224
TZ01,TZ01_chip_top_0_4,3,4,3.0,4.0,63926,40
TZ01,TZ01_chip_top_0_4,0,5,0.0,5.0,972,0
TZ01,TZ01_chip_top_0_4,1,5,1.0,5.0,739,0
TZ01,TZ01_chip_top_0_4,2,5,2.0,5.0,801,0
TZ01,TZ01_chip_top_0_4,3,5,3.0,5.0,662,0
2975,2975_chip_top_0_6,0,0,0.0,0.0,75157,0
2975,2975_chip_top_0_6,1,0,1.0,0.0,161551,13646
2975,2975_chip_top_0_6,2,0,2.0,0.0,158875,14091
2975,2975_chip_top_0_6,3,0,3.0,0.0,72822,2902
2975,2975_chip_top_0_6,0,1,0.0,1.0,153146,11613
2975,2975_chip_top_0_6,1,1,1.0,1.0,280255,27707
2975,2975_chip_top_0_6,2,1,2.0,1.0,292432,30952
2975,2975_chip_top_0_6,3,1,3.0,1.0,134859,10630
2975,2975_chip_top_0_6,0,2,0.0,2.0,167737,14389
